iso3c,year,total_pop,median_age,total_pop_20_to_40,total_pop_40_to_60,total_pop_30_to_50,total_pop_18_to_65,percent_pop_20_to_40,percent_pop_40_to_60,percent_pop_30_to_50,percent_pop_18_to_65
ABW,1950,38.7975,17,12.011,5.641500000000001,9.560500000000001,19.024999999999995,0.30958180295122106,0.14540885366325151,0.2464205167858754,0.4903666473355241
AFG,1950,7480.461000000005,18,2226.9784999999997,1165.328,1626.8419999999999,3759.6844999999994,0.29770605046934917,0.15578291230981609,0.21747884254727065,0.5026006418588369
AGO,1950,4478.184000000002,19,1397.1674999999998,683.7060000000001,1008.0209999999998,2287.9095,0.31199421461914006,0.1526748342631745,0.22509593174376027,0.5109011822649536
AIA,1950,5.016999999999998,19,1.5725,0.7300000000000002,1.097,2.5225,0.31343432330077753,0.1455052820410605,0.21865656766992236,0.5027905122583219
ALB,1950,1252.5815,20,351.17249999999996,198.5235,265.5385,619.0030000000002,0.2803590025878555,0.15849148338850608,0.2119929920727713,0.4941818157141872
AND,1950,6.004499999999998,31,1.831,1.5679999999999998,1.6740000000000002,3.7734999999999994,0.304937963194271,0.261137480223166,0.27879090681988516,0.6284453326671664
ARE,1950,74.59149999999994,18,21.058500000000002,11.0375,15.168999999999999,35.807500000000005,0.28231769035345877,0.1479726242266211,0.2033609727649935,0.48004799474471
ARG,1950,17017.7415,24,5760.439,3572.5224999999996,4755.325,10171.020499999999,0.3384960924456398,0.2099292964345474,0.27943337839512955,0.5976715829183326
ARM,1950,1385.0404999999998,21,382.53749999999997,237.562,277.36299999999994,718.1384999999999,0.27619228462994405,0.17151989418359972,0.2002562379944846,0.5184963905387604
ASM,1950,19.032499999999988,16,5.449499999999999,2.0719999999999996,3.503,8.435500000000001,0.2863260212793906,0.10886641271509265,0.18405359253907802,0.4432155523446739
ATG,1950,45.435000000000024,18,11.858500000000001,7.9125,10.4785,21.825500000000005,0.26099922966875744,0.17414988445031354,0.2306261692527786,0.48036755804996134
AUS,1950,8177.167499999998,29,2661.586,1956.7515,2360.6495,5073.221000000001,0.32548996947904035,0.23929453566898326,0.28868792280456534,0.6204129975324588
AUT,1950,6936.4394999999995,35,1968.4585000000002,2040.5959999999998,2034.0320000000004,4432.5599999999995,0.2837851465438429,0.29418493450422223,0.2932386276849961,0.6390252520763714
AZE,1950,3158.9659999999994,20,878.7985000000001,545.1165,632.5920000000001,1625.4950000000001,0.2781918197283542,0.17256168632394273,0.20025286755223076,0.5145655255548811
BDI,1950,2254.1124999999984,18,675.5695,338.2275,495.53650000000005,1119.9955,0.2997053163939246,0.15004907696488098,0.21983663193385442,0.4968676141940568
BEL,1950,8617.343500000003,35,2568.573,2462.063,2514.5074999999997,5576.8025,0.29807016512687456,0.2857102075599051,0.2917961318357565,0.6471602878543716
BEN,1950,2264.452000000002,23,621.1625,440.65199999999993,527.1829999999999,1184.0695,0.27431029670754753,0.19459542529494975,0.23280820260266033,0.5228945016277664
BES,1950,6.9885,32,1.4854999999999998,1.7025,1.6864999999999997,3.579,0.21256349717392856,0.24361450955140587,0.2413250339844029,0.5121270658939687
BFA,1950,4213.7565,19,1326.1184999999998,646.3320000000001,968.4399999999998,2165.1760000000004,0.31471170676331195,0.15338617691838624,0.22982818300013294,0.5138351017672711
BGD,1950,39728.53449999996,18,11675.154500000002,5951.4425,8551.548,19482.0455,0.29387327388076734,0.14980271925207828,0.21524952046746174,0.49037916311763324
BGR,1950,7157.631999999998,26,2391.9130000000005,1585.821,1946.4060000000002,4382.710499999999,0.3341765824227903,0.22155665449131787,0.27193434923728976,0.6123129129857473
BHR,1950,117.14900000000004,18,36.48550000000001,15.5365,24.3445,57.35799999999999,0.31144525348061014,0.13262170398381543,0.20780800518997167,0.489615788440362
BHS,1950,81.64399999999999,20,25.260000000000005,12.732500000000002,19.876,41.695499999999996,0.30939199451276284,0.15595144774876296,0.24344716084464263,0.5106988878545882
BIH,1950,2692.907500000002,19,757.699,460.694,562.1495,1365.3064999999995,0.2813683722890591,0.17107680081844612,0.20875187877786353,0.507000890301653
BLM,1950,2.007499999999999,27,0.624,0.45500000000000024,0.5705,1.1945000000000003,0.3108343711083439,0.22665006226650086,0.28418430884184326,0.5950186799501873
BLR,1950,7906.860499999994,25,2387.6184999999996,1730.5230000000004,1980.7585000000001,4628.1010000000015,0.30196795554948785,0.218863479379711,0.25051137553267844,0.5853272610538665
BLZ,1950,69.116,20,20.952,11.408000000000001,15.659500000000001,35.76799999999999,0.3031425429712368,0.16505584813935995,0.2265683777996412,0.5175068001620462
BMU,1950,37.1415,24,11.968000000000002,7.436,9.962,21.13,0.32222715830001486,0.2002073152672886,0.2682174925622282,0.5689054023127768
BOL,1950,3089.843499999999,20,864.6945000000001,483.0759999999999,635.6830000000001,1518.0024999999994,0.2798505814291243,0.1563431934335833,0.20573307353592513,0.49128782736083554
BRA,1950,53955.3595,17,16425.4915,7416.519500000001,11301.2735,26348.933499999996,0.30442743134720474,0.13745658575400654,0.209455994821052,0.4883469176032456
BRB,1950,210.54799999999994,22,62.77,38.8305,55.0985,111.8055,0.29812679294032723,0.18442587913444922,0.26169092083515405,0.5310214297927315
