year,country,INPARTY,OUTPARTY
1985,Italy,6.761506080627441,2.273028612136841
1971,Netherlands,8.066164016723633,4.824042797088623
1972,Netherlands,7.755578994750977,4.122549057006836
1986,Netherlands,8.115385055541992,4.395846366882324
1994,Netherlands,7.440811634063721,4.769922256469727
1998,Netherlands,7.482674598693848,5.003274440765381
2002,Netherlands,8.375476837158203,4.639074325561523
2003,Netherlands,8.572712898254395,4.638780117034912
2006,Netherlands,8.035744667053223,4.3676958084106445
2010,Netherlands,7.788461685180664,4.530384063720703
2012,Netherlands,7.76399040222168,4.623939037322998
2017,Netherlands,8.38952350616455,4.4388628005981445
1981,Norway,8.534627914428711,4.109151840209961
1985,Norway,8.495187759399414,4.022037029266357
1989,Norway,8.166900634765625,4.333013534545898
1993,Norway,8.061798095703125,4.295604705810547
1997,Norway,8.238608360290527,4.198985576629639
2001,Norway,7.8026628494262695,3.7945847511291504
2005,Norway,8.302407264709473,3.8627283573150635
2009,Norway,8.29173755645752,4.055957794189453
2013,Norway,8.219064712524414,4.26045560836792
2017,Norway,8.089201927185059,4.059171676635742
1985,Portugal,7.00446081161499,2.9324893951416016
1993,Portugal,8.551108360290527,2.9292678833007812
2002,Portugal,7.395480155944824,3.3410069942474365
2005,Portugal,7.949862957000732,3.3892414569854736
2009,Portugal,7.786699295043945,3.4393255710601807
2011,Portugal,7.20281982421875,4.001465320587158
2015,Portugal,7.8190813064575195,3.2450616359710693
2019,Portugal,7.093599319458008,3.8119475841522217
1979,Spain,6.686274528503418,3.0230274200439453
1986,Spain,7.512087345123291,3.053166627883911
1993,Spain,7.291387557983398,3.128366708755493
1979,Sweden,8.730754852294922,4.255295753479004
1982,Sweden,8.58201789855957,4.141192436218262
1985,Sweden,8.766990661621094,4.537266731262207
1988,Sweden,8.520000457763672,4.750391960144043
1991,Sweden,8.68520736694336,4.832037925720215
1994,Sweden,8.6713104248046875,4.524784088134766
1998,Sweden,8.272332191467285,4.720190525054932
2002,Sweden,8.25940227508545,4.7326250076293945
2006,Sweden,8.259693145751953,4.684044361114502
2010,Sweden,8.687004089355469,4.2936787605285645
2014,Sweden,8.9108123779296875,4.706580638885498
1975,Switzerland,6.341772079467773,3.8015365600585938
1995,Switzerland,7.45771598815918,4.072080612182617
1999,Switzerland,7.668312072753906,3.9882149696350098
2007,Switzerland,8.248285293579102,4.038309574127197
2011,Switzerland,7.88416051864624,3.8278212547302246
1964,United Kingdom,5.832108497619629,4.097229957580566
1966,United Kingdom,5.959444999694824,3.9583778381347656
1970,United Kingdom,5.991860866546631,4.04774808883667
1974,United Kingdom,7.911166667938232,4.264214038848877
1975,United Kingdom,7.903722763061523,4.4267354011535645
1979,United Kingdom,8.100872039794922,4.786728382110596
1983,United Kingdom,9.469959259033203,3.6589980125427246
1987,United Kingdom,8.804169654846191,4.245100498199463
1992,United Kingdom,8.833285331726074,4.479650497436523
1997,United Kingdom,7.236902713775635,3.55114483833313
2001,United Kingdom,7.339539527893066,3.58290433883667
2005,United Kingdom,6.825443267822266,4.0163187980651855
2010,United Kingdom,6.762376308441162,3.8134775161743164
2015,United Kingdom,7.464541435241699,3.2784767150878906
2017,United Kingdom,7.409282684326172,2.9642982482910156
2019,United Kingdom,7.286683082580566,3.312187910079956
1980,United States,7.060486316680908,4.551358699798584
1984,United States,7.280074119567871,4.50681734085083
1988,United States,7.432558059692383,4.420093536376953
1992,United States,6.816471576690674,4.056770324707031
1996,United States,7.024866580963135,3.9797255992889404
2000,United States,6.990329742431641,4.015020370483398
2004,United States,7.131133556365967,3.812286615371704
2008,United States,7.0758376121521,3.5015604496002197
2012,United States,6.777853488922119,2.6804652214050293
2016,United States,6.383939266204834,2.4723353385925293
2020,United States,7.103950023651123,2.033144474029541
1965,Canada,8.039361953735352,5.097762107849121
1968,Canada,7.570401191711426,4.086562156677246
1974,Canada,7.570337772369385,4.114230632781982
1979,Canada,7.304300308227539,3.9940919876098633
1980,Canada,7.255148887634277,4.028772830963135
1988,Canada,6.385152816772461,4.008040428161621
1993,Canada,7.177737236022949,3.760746479034424
1997,Canada,6.954015731811523,3.230398654937744
2000,Canada,7.159399032592773,3.549492597579956
2004,Canada,6.965601921081543,2.8370702266693115
2006,Canada,7.19912052154541,3.818596363067627
2008,Canada,7.17340087890625,3.2628538608551025
2011,Canada,7.084057807922363,3.5866894721984863
2015,Canada,7.52785587310791,3.5196938514709473
2019,Canada,7.608786582946777,3.648688793182373
1993,Australia,7.907934188842773,3.5371546745300293
1996,Australia,8.068400382995605,4.116459846496582
1998,Australia,8.070184707641602,3.8944790363311768
2001,Australia,8.072081565856934,3.8845059871673584
2004,Australia,8.176032066345215,3.7003486156463623
2007,Australia,8.231727600097656,3.8898558616638184
2010,Australia,7.785975933074951,3.5982115268707275
2013,Australia,7.750258445739746,3.47304105758667
2016,Australia,7.468692779541016,3.5501766204833984
2019,Australia,7.7326226234436035,3.419677734375
1993,New Zealand,8.087174415588379,4
1996,New Zealand,8.0271148681640625,3.817943572998047
1999,New Zealand,8.179953575134277,3.5454306602478027
2002,New Zealand,8.215794563293457,3.5700814723968506
2005,New Zealand,8.585990905761719,3.806547164916992
2011,New Zealand,8.380999565124512,3.6233668327331543
2014,New Zealand,8.370264053344727,3.473201274871826
2017,New Zealand,8.456315994262695,3.8998615741729736
2015,Argentina,7.648866176605225,3.572639226913452
2017,Austria,7.801507472991943,3.5451982021331787
2019,Belgium,7.692969799041748,3.207658290863037
2014,Brazil,6.638580322265625,3.1107358932495117
2010,Brazil,7.243523120880127,3.3580799102783203
2006,Brazil,5.946145534515381,2.899531364440918
2018,Brazil,6.304054260253906,2.612619638442993
2002,Brazil,7.8416666984558105,3.8879003524780273
2014,Bulgaria,7.230134010314941,1.9415394067764282
2001,Bulgaria,8.5982208251953125,2.856684684753418
2005,Chile,7.540613651275635,3.586308479309082
2017,Chile,5.156850814819336,2.1112589836120605
2009,Chile,7.558964729309082,3.603893280029297
1999,Chile,6.798335075378418,2.5141375064849854
2018,Costa Rica,6.534395217895508,2.9599289894104004
2007,Croatia,7.18356466293335,3.298543691635132
1996,Czech Republic,8.505746841430664,3.257045030593872
2002,Czech Republic,8.006644248962402,3.4133222103118896
2010,Czech Republic,7.631349086761475,3.2121965885162354
2013,Czech Republic,7.516985893249512,3.058509111404419
2006,Czech Republic,7.964230060577393,3.3145527839660645
2019,Denmark,8.569517135620117,3.7167999744415283
2011,Estonia,7.887975215911865,3.6743361949920654
2002,France,7.398984909057617,3.1972951889038086
2002,Hungary,8.461407661437988,3.3402328491210938
1998,Hungary,8.423659324645996,3.2812225818634033
2013,Iceland,7.572977066040039,4.13764762878418
2007,Iceland,7.858262538909912,3.7009429931640625
2009,Iceland,7.2665114402771,3.38592529296875
1999,Iceland,7.697131633758545,3.9733400344848633
2017,Iceland,7.893769264221191,3.9211573600769043
2016,Iceland,7.54846715927124,3.9012606143951416
2003,Iceland,7.938098907470703,4.406942367553711
2020,Israel,7.358543395996094,2.742485523223877
2006,Israel,7.231298446655273,3.392345428466797
2013,Israel,7.601659774780273,3.585521697998047
1996,Israel,8.136711120605469,3.412667989730835
2003,Israel,8.061864852905273,3.040048360824585
2006,Italy,7.008645534515381,3.8229901790618896
2018,Italy,7.328556060791016,2.7722549438476562
2013,Japan,6.943455696105957,3.4174141883850098
2007,Japan,6.411201000213623,3.1822338104248047
1996,Japan,6.909468650817871,3.8065340518951416
2017,Japan,6.593525409698486,3.6103601455688477
2004,Japan,6.85803747177124,3.4452781677246094
2010,Latvia,7.363357067108154,2.9168052673339844
2011,Latvia,7.786749362945557,3.0987002849578857
2014,Latvia,7.745177745819092,3.574087381362915
1997,Lithuania,7.975059509277344,3.9324307441711426
2016,Lithuania,7.209654331207275,3.395284652709961
2003,Mexico,8.090764999389648,3.2842156887054443
2006,Mexico,8.616883277893066,3.7230448722839355
2009,Mexico,8.508358001708984,4.207746505737305
2000,Mexico,8.297249794006348,3.4164888858795166
2012,Montenegro,7.622377395629883,2.521733522415161
2020,New Zealand,8.407624244689941,3.491959810256958
2008,New Zealand,8.415094375610352,3.7196521759033203
2011,Peru,8.4633331298828125,3.002060651779175
2001,Peru,8.2001800537109375,2.882112741470337
2016,Peru,7.93935489654541,3.039644956588745
2006,Peru,7.552911281585693,2.323852300643921
2004,Philippines,7.167492389678955,4.2891950607299805
2011,Poland,7.372807025909424,2.733361005783081
2007,Poland,7.434635162353516,3.256366491317749
2001,Poland,7.682367324829102,3.0142228603363037
2005,Poland,7.639591693878174,2.992157220840454
1997,Poland,8.218957901000977,3.7079036235809326
2000,Republic of Korea,6.599437236785889,3.7673003673553467
2008,Republic of Korea,7.493750095367432,4.105797290802002
2016,Republic of Korea,6.981651306152344,4.238313674926758
2012,Republic of Korea,6.8305439949035645,3.5521628856658936
2004,Republic of Korea,7.174614429473877,3.192383289337158
1996,Romania,8.308420181274414,4.217317581176758
2009,Romania,7.934126853942871,3.3748714923858643
